tab	specimens
specimen	experiments	sample	dir_alpha95	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	location	site
16tr009c	16tr009c:LP-DIR-T	16tr009c				HT	47.1	19.8	1	9	0	0.0	0.9				953	923	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr009
16tr009d	16tr009d:LP-DIR-T	16tr009d				HT	331.8	-39.4	2	11	100	0.0	5.6				955	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	1e-05		16tr009
16tr009d	16tr009d:LP-DIR-T	16tr009d				LT	343.4	41.8	2	5	0	39.4	11.4				773	373	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
16tr009d	16tr009d:LP-DIR-T	16tr009d				HT	348.2	-9.7	2	11	0	0.0	5.6				955	918	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	1e-05		16tr009
16tr009d	16tr009d:LP-DIR-T	16tr009d				LT	356.9	6.8	2	5	100	39.4	11.4				773	373	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009e	16tr009e:LP-DIR-T	16tr009e				LT	5.3	0.9	1	4	100	20.6	1.4				823	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009e	16tr009e:LP-DIR-T	16tr009e				LT	356.8	40.2	1	4	0	20.6	1.4				823	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
16tr009f	16tr009f:LP-DIR-T	16tr009f				LT	8.3	49.8	1	3	0	47.5	3.4				773	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
16tr009f	16tr009f:LP-DIR-T	16tr009f				LT	16.0	7.3	1	3	100	47.5	3.4				773	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009g	16tr009g:LP-DIR-T	16tr009g				LT	11.9	15.9	1	5	100	11.3	3.7				773	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009g	16tr009g:LP-DIR-T	16tr009g				LT	357.2	56.6	1	5	0	11.3	3.7				773	273	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
16tr009h	16tr009h:LP-DIR-T	16tr009h				LT	359.8	42.0	1	7	0	9.3	5.1				883	373	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
16tr009h	16tr009h:LP-DIR-T	16tr009h				LT	8.0	1.7	1	7	100	9.3	5.1				883	373	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009i	16tr009i:LP-DIR-T	16tr009i				LT	3.2	9.1	1	5	100	38.0	7.3				883	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	1e-05		16tr009
16tr009i	16tr009i:LP-DIR-T	16tr009i				LT	349.5	46.8	1	5	0	38.0	7.3				883	573	K		pmagpy-4.2.1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	1e-05		16tr009
